0,1
" Não tinha as medidas da mochila no site, acabei comprando uma pequena demais. Sugiro colocar as medidas estampadas.",0
" Muito bom o produto 
E chegou antes da data prevista .. 
Muito bom
",0
" Comprei outros produtos e sempre vieram, só estou tendo problema com este, mais no geral é um site muito bom de se comprar.",0
 O atraso foi culpa dos Correios.,1
Péssima compra  O produto ainda não foi entregue e já passou do prazo.,0
 o produto veio trocado e não me deram retorno.,0
" ótimo serviço, entrega antecipada e produto correto ",1
"Excelente Produto!! Produto de ótima qualidade, superou a minha expectativa.",1
 tudo ocorreu de acordo com o esperado. ,1
" mais de 30 dias pra receber essa mercadoria. 
O prazo estava até o dia 11 e até agora nada!!!
Temos protocolo, e-mail... e nenhuma resposta de vocês!
Um absurdo!",0
"recomendo o meu pedido chegou bem antes do prazo, obrigado",1
recomendado muito bom atendimento produtos corretos ,1
 Eu amei o óculos ele é lindo ficou perfeito no rosto 😍😍,1
Ótimo  Sempre vou comprar aqui pois é a melhor parabéns ,1
Oltima qualidade Chegou bem antes do prazo,1
 Chegou antes do prazo marcado.,1
 Boa compra e entrega antes do prazo,1
 Não foi entregue o produto. Estava previsto para 27/08 ,0
" Fui atendida dentro do prazo, boa satisfação",1
Recomendadíssimo Recebi o produto correto e bem antes do prazo. Estou satisfeito com a lannister e com a loja targaryen. Compraria novamente com certeza. Parabéns a ambas pelo excelente trabalho.,1
recomendo claro!!!!! ,1
" uma droga.... não recebi de acordo com a compra. no anuncio dizia 2 creatinas (universal) e recebi somente uma creatina e uma shakeira de de péssima qualidade.
estou profundamente indignado postei um",0
 Foi entregue no prazo,1
Bom Produto bom e luja confiável chegou antes do previsto tudo certinho loja Boa ,1
" Produto veio certinho, entrega até antes do prazo, ameiii ",1
" Minha encomenda chegou antes do prazo estipulado ,porém o produto veio em desacordo com o pedido ,ao invés de vir um cartucho pg 145 preto e um cartuchu pg 146 color ,vieram os doi pg 145 preto . E ag",0
 Na caixa vem explicando como fazer para utilizar a garrafa. Eu fiz chá com água fervendo às 7h e quando fui tomar às 13h ainda estava quase fervendo. Até umas 19h a temperatura ainda estava bem quente,1
 .,1
Otimo produto e rapidez  Comprei o produto dia 15/05...Dia 21/05 Já recebi....qualidade e rapidez...top,1
" A mangueira é boa! Leve, e com opção de ajuste assim sendo ajuda na economia de água. Aprovada! ",1
 Ainda não recebi meu produto,0
"Especificar o conteúdo  A imagem divulgada da a impressão de que se trata de dois itens, porém na verdade é apenas um.",0
 TUDO CERTO.,1
 Tudo de bom. ,1
" Chegou em perfeitas condições, antes da data de entrega",1
"Não recebi o material Não posso avaliar por enquanto, o produto foi postado e ocorreu uma greve no Pais. Obrigado.",0
" Produto maravilhoso ...
Sem contar o cheiro que é muito bom..
Recebi antes do prazo",1
produto ruim. Produto ruim pelo preço cobrado.,0
Falta de comprometimento  Comprei e as cores vieram todas erradas e escolhe com tanto cuidado e veio td diferente não compro mais pq ate vc tentar e conseguir trocar muita dor de cabeça ,0
 muito bom,1
 Comprei 2 travesseiros e recebi apenas 1.,0
 Produto de ótima qualidade ,1
 entregue antes do prazo,1
 Fiz o pedido em uma quarta feira e recebi na sexta. Recomendo.,1
"O arejador veio errado Infelizmente o arejador não é articulado e nem 3/4, pois não coube na torneira do tanque.

Quanto a mangueira, ainda não testei. Espero que de certo.",0
" Tirando o fato de que na foto o relógio parece ser prateado e que na descrição diz que é preto (ele é prateado - eu preferiria preto) e que a nota foi emitida com um valor diferente, tudo OK.",1
" Recebi tido certinho, no prazo certo. A Loja esta de Parabéns em relação a logistica, porém o produto não é de qualidade. ",0
" o pedido eram dois jogos de casais e só veio um dentro do pacote.
Além de nao entregar no prazo ainda entrega o pedido pela metade.
Peço providencias urgentes. ",0
" A entrega esta em atraso e eu preciso da para p. O dia 20,02 e a mesma ainda nao chegou.. se passar do dia 20, n vou querer mais o produto!",0
Recomendo  ,1
 Mochila bonita de boa qualidade ,1
Parabéns Produto entregue no prazo correto.,1
Muito bom!!!! Chegou bem antes da data prevista....,1
 O produto chegou em perfeito estado e antes do prazo. Não tive nenhuma dor de cabeça! ,1
 Eu recomendo ,1
"Satisfeito com a compra Satisfeito com a aquisição e negócio.
Entrega no prazo, com produto bem embalado, com a Nota Fiscal, caixa original, garantia e manual do usuário.
Primeiras impressões o relógio está em perfeito.",1
 Produto de ótima qualidade.,1
" Segunda vez que compro no site, e o produto não foi entregue na minha residência. Sei que é um problema dos correios, mas nós pagamos o frete da mesma forma.Existem outras empresas de frete para isso.",0
 Gostei muito de comprar em americanaa . Com EU recomemdo eficiencia total ,1
" A loja mantém a venda de produtor que ela n tem no estoque. Era presente de dia das mães. E o pior, a gente compra, eles dizem q n tem o produto mas só deixa cancelar depois q estoura o prazo. Lixo!",0
 bom brinquedo,1
 Tudo conforme pedido.,1
 Produto excelente.,1
ÓTIMO ,0
"Muito bom! Gente recebi meu relógio em 2 dias, muito rápido, o produto certinho, estou muito satisfeita.Recomendo!",1
 Tudo perfeito 👍🏻 ,1
Capa carteira Ótimo produto de excelente qualidade com certeza recomendo a todos.,1
" SOU FÃ FIEL DA baratheon DESDE SEMPRE, PELO RESPEITO QUE ESTA LOJA TEM PELO CONSUMIDOR. RECOMENDO...",1
" Os lustres vieram numa cor totalmente diferente do anunciado. Pedi troca através do site, recebi o e-mail de confirmação dizendo que entrariam em contato comigo em até 48 horas, porém até agora nada !",0
 ...,1
super recomendo Entrega muito rápida,1
" Produto veio sem cabo USB e fonte,a caixa de dentro veio danificada e principalmente parece não ser original. Aguardando por uma solução.",0
" Meu produto ainda não foi entregue, comprei à um mês e ainda nada.",0
"Melhorar embalagem O produto veio conforme a descrição, mas um pouco machucado, com manchas. O produto veio embalado em uma camada de papel kraft.",1
" Produto conforme descrito, chegou antes do prazo previsto.",1
TAvaliação da entrega Car Adquiri 4 cartuchos 41 Canon e recebi somente 2 até o momento.,1
10 Bom,1
" Super recomendado igual o anúncio acabamento perfeito,ADOREI",1
Demora de mais Até agora não recebi nada,0
 recebi dentro da embalagem lacrada somente um produto e comprei dois produtos. Liguei para a central e disseram q iriam averiguar minha reclamação. Sempre compro em outros sites e nunca ocorreu isso.,0
 Nota 10,1
" Foi entregue apenas a película, mas o vendedor mandou uma carta junto explicando motivo. Porem, a película nao serviu, e to tentando contato com o vendedor.",1
 amei o produto ,1
"Excelente Parabéns para loja, o produto chegou bem embalado, antecipadamente, recomendo",1
 Mto bom,1
 Bom,0
" Pensei que a cinta seria mais larga.
É muito estreita para cargas pesadas",0
"Funcional Funcional, mas poderia ser melhor. Veio faltando o botão de vedação do pegador, mas não comprometeu a beleza do produto.",1
Tudo nos conformes  Produto chegou bem antes do prazo ,1
 Comprei dois produtos e recebi um. Insatisfeita com a compra. Nunca aconteceu isso comigo.,0
" Tonner compativel instala ok na impressora, mas saiu falha. Comprei outro de outra empresa e saiu normal.",0
 o produto estava previsto para chegar dia 10/11 até hj ainda n recebi nada... estou precisando urgente!!,0
" Simplesmente recebi um produto na cor errada, no modelo errado do comprado, barulho de peças miúdas soltas dentro dele, além de ter a tensão errada, 220V.
Portanto não veio o produto que foi comprado",0
 Bom,1
 O produto que chegou é mais bonito do que eu esperava.,1
ainda não recebi o produt estou aguardando o recebimento do produto,0
10 Amei o Quadro,1
Ótimo  Tudo perfeito ,1
 O produto que comprei é de complexa instalação e só é possível ser feita por um profissional experiente. Fiz a tentativa e perdi tempo e dinheiro. Recomendaria a loja para compra de outros produtos.,0
